Sample,Amplitude
0,0.0
1,0.3090169943749474
2,0.5877852522924731
3,0.8090169943749475
4,0.9510565162951535
5,1.0
6,0.9510565162951536
7,0.8090169943749475
8,0.5877852522924732
9,0.3090169943749475
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,nan
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,nan
27,nan
28,nan
29,nan
30,3.6739403974420594e-16
31,-0.30901699437494706
32,-0.5877852522924728
33,-0.8090169943749472
34,-0.9510565162951534
35,-1.0
36,-0.9510565162951538
37,-0.8090169943749477
38,-0.5877852522924735
39,-0.3090169943749479
40,-4.898587196589413e-16
41,0.30901699437494523
42,0.5877852522924727
43,0.8090169943749471
44,0.9510565162951529
45,1.0
46,0.9510565162951538
47,0.8090169943749467
48,0.5877852522924736
49,0.30901699437494967
50,6.123233995736766e-16
51,-0.3090169943749451
52,-0.5877852522924726
53,-0.8090169943749481
54,-0.9510565162951534
55,-1.0
56,-0.9510565162951538
57,-0.8090169943749489
58,-0.5877852522924737
59,-0.3090169943749498
60,-7.347880794884119e-16
61,0.3090169943749484
62,0.5877852522924725
63,0.809016994374948
64,0.9510565162951533
65,1.0
66,0.9510565162951539
67,0.809016994374949
68,0.5877852522924738
69,0.30901699437494656
70,8.572527594031472e-16
71,-0.3090169943749483
72,-0.5877852522924725
73,-0.8090169943749459
74,-0.9510565162951533
75,-1.0
76,-0.9510565162951539
77,-0.8090169943749469
78,-0.5877852522924739
79,-0.3090169943749467
80,-9.797174393178826e-16
81,0.3090169943749448
82,0.5877852522924695
83,0.8090169943749479
84,0.9510565162951533
85,1.0
86,0.9510565162951539
87,0.8090169943749491
88,0.5877852522924769
89,0.3090169943749468
90,1.102182119232618e-15
91,-0.3090169943749447
92,-0.5877852522924722
93,-0.8090169943749457
94,-0.9510565162951543
95,-1.0
96,-0.951056516295154
97,-0.8090169943749491
98,-0.587785252292477
99,-0.3090169943749469
